Label,English,Español
lbl.Insulin diffusion constant between plasma and peripheral compartments,Insulin diffusion constant between plasma and peripheral compartments,Insulin diffusion constant between plasma and peripheral compartmentsES
lbl.Insulin removal from plasma,Insulin removal from plasma,Insulin removal from plasmaES
"lbl.Insulin clearance rate, peripheral insulin binding","Insulin clearance rate, peripheral insulin binding","Insulin clearance rate, peripheral insulin bindingES"
lbl.Glomerular filtration rate,Glomerular filtration rate,Glomerular filtration rateES
lbl.Maximal reabsorption rate,Maximal reabsorption rate,Maximal reabsorption rateES
lbl.GLUT 4 carrier affinity,GLUT 4 carrier affinity,GLUT 4 carrier affinityES
lbl.p initial value,p initial value,p initial valueES
lbl.i function initial value,i function initial value,i function initial valueES
lbl.Glucose gut absorption,Glucose gut absorption,Glucose gut absorptionES
lbl.Hepatic balance,Hepatic balance,Hepatic balanceES
lbl.Peripheral glucose uptake: GLUT 1 and GLUT 3 mediated glucose uptake,Peripheral glucose uptake: GLUT 1 and GLUT 3 mediated glucose uptake,Peripheral glucose uptake: GLUT 1 and GLUT 3 mediated glucose uptakeES
lbl.Peripheral glucose uptake: GLUT 4 mediated glucose uptake,Peripheral glucose uptake: GLUT 4 mediated glucose uptake,Peripheral glucose uptake: GLUT 4 mediated glucose uptakeES
lbl.Renal glucose balance,Renal glucose balance,Renal glucose balanceES
lbl.Endogenous glucose balance,Endogenous glucose balance,Endogenous glucose balanceES
lbl.Fraction of insulin effect,Fraction of insulin effect,Fraction of insulin effectES
lbl.i* normalized to lie between 0 and 1,i* normalized to lie between 0 and 1,i* normalized to lie between 0 and 1ES
lbl.Insulin action on glucose uptake,Insulin action on glucose uptake,Insulin action on glucose uptakeES
lbl.Steady-state insulin infusion rate per kg body mass,Steady-state insulin infusion rate per kg body mass,Steady-state insulin infusion rate per kg body massES
lbl.Endogenous insulin appearancerate,Endogenous insulin appearancerate,Endogenous insulin appearancerateES
lbl.Bioavailable glucose,Bioavailable glucose,Bioavailable glucoseES
lbl.Blood Glucose concentration,Blood Glucose concentration,Blood Glucose concentrationES
lbl.Plasma Insulin concentration,Plasma Insulin concentration,Plasma Insulin concentrationES
lbl.Peripheral insulin concentration,Peripheral insulin concentration,Peripheral insulin concentrationES
lbl.alarmBG,The Blood Glucose limit has been reached, Se ha llegado al límite de Glucosa en Sangre
lbl.sexDescription,Patient Sex, Sexo del paciente
lbl.ExDetailedDescription, This parameter represents Exogenous insulin appearance rate, Este parámetro epresenta la tasa de inyeccion de insulina
lbl.Bioavailable glucoseDD,Concentration of Glucose Bioavailable,Conentración de Glucosa biodisponible
lbl.Blood GlucoseDD,Concentration of Blood Glucose,Conentración de Glucosa en Sangre
